"filename","samp_type","cruise","station","cast","depth","abs_depth","rosette","tripl","id","untripl","date_run","timestamp","time","lat","lon","DCM_depth","sla","local_hour","temp","sal","theta","dic","alk","ph","oxy_um","PAR","PAR_perc","no23_um","po4_um","DON_um","DOP_um","si_um","PC_um","PN_um","chl_ug","phaeo_ug","beam_atten","het_abund","pro_abund","syn_abund","euk_abund"
"180821_Std_4uMStdsMix2InMatrix_1.mzML","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 00:14:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180821_Std_H2OInMatrix_1.mzML","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 02:46:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180821_Smp_MS4C115m_A.mzML","Smp","MT","4",1,"15m",14.1,21,"A","MS4C115m_A","180821_Smp_MS4C115m",2018-08-21,2018-08-22 07:49:11,2017-06-29 10:48:40,27.9516666666667,-157.283666666667,100,-0.0392,0,25.755,35.298,25.752,NA,NA,NA,NA,NA,NA,0.00159508002605577,0.0277470530734098,4.68647471587983,0.18962661480401,1.82398213418255,1.92982875039667,0.299973722103169,0.0527,0.0326,0.0370784926855216,4.99304,1.62386,0.017,0.00791
"180821_Smp_MS5C1DCM_B.mzML","Smp","MT","5",1,"DCM",122.4,10,"B","MS5C1DCM_B","180821_Smp_MS5C1DCM",2018-08-21,2018-08-22 08:39:42,2017-06-29 22:12:29,27.18,-157.6075,122,0.1837,12,20.961,35.115,20.938,2042.62794117647,2311.95955882353,7.98890073529412,NA,NA,NA,0.655584286143351,0.145732942267807,4.34521283742473,0.138872830677587,2.43378568924647,1.49113650448023,0.252100121514182,0.249456344086022,0.51341311827957,0.0496785948372615,3.52155555555556,0.9162,0.000577777777777777,0.0264222222222222
"180821_Smp_MS6C3175m_C.mzML","Smp","MT","6",3,"175m",176.5,3,"C","MS6C3175m_C","180821_Smp_MS6C3175m",2018-08-21,2018-08-22 10:20:41,2017-06-30 09:34:20,26.37,-158.010666666667,119,0.252,23,20.394,35.233,20.361,2040,2320,8.02,NA,NA,NA,0.323757645329689,0.0910792020451582,4.47615300693945,0.130836005710001,2.04176701847622,0.729594588955196,0.137211676010645,0.0241,0.0599,0.0100092369477912,2.24924,0.01988,0,0.001
"180821_Smp_MS7C115m_B.mzML","Smp","MT","7",1,"15m",15.9,21,"B","MS7C115m_B","180821_Smp_MS7C115m",2018-08-21,2018-08-22 11:11:14,2017-06-30 11:35:43,26.17,-158.022333333333,133,0.228,1,25.816,35.2,25.812,2006.26694214876,2317.99338842975,8.06701983471074,207.109,NA,NA,0.00190533669909271,0.0394836996626904,4.74120125735861,0.195854096993953,1.57493011877055,1.84266168496116,0.277305066099557,0.0479972881355932,0.030691186440678,0.0355148641674577,4.96222,1.85844,0.01409,0.00815
"180821_Smp_MS8C1DCM_C.mzML","Smp","MT","8",1,"DCM",122.9,12,"C","MS8C1DCM_C","180821_Smp_MS8C1DCM",2018-08-21,2018-08-22 12:52:15,2017-06-30 18:11:24,25.925,-158.1235,122,0.1793,8,21.562,35.186,21.538,2038.36860706861,2315.02910602911,8.00823284823285,NA,NA,NA,0.488492181859794,0.126552496193916,4.31692806224459,0.141342184241257,1.85480115195033,1.59231714008666,0.28883693420372,0.235836382536383,0.540343243243243,0.0329178571428571,3.6904,0.87814,0.000699999999999997,0.02318
"180821_Smp_MS9C2175m_C.mzML","Smp","MT","9",2,"175m",175.2,3,"C","MS9C2175m_C","180821_Smp_MS9C2175m",2018-08-21,2018-08-22 13:42:44,2017-06-30 23:32:21,25.679,-158.225,110,0.1036,13,18.377,34.956,18.346,2049.7,2300,7.958,NA,NA,NA,2.7432065575677,0.263468828394789,3.66612178788048,0.106915344839276,3.48182364116928,0.611549848955446,0.115993375596628,0.0243,0.0617,0.00836565656565657,1.831016,0.015912,0,0.000992
"180821_Smp_MS10C215m_A.mzML","Smp","MT","10",2,"15m",15.8,20,"A","MS10C215m_A","180821_Smp_MS10C215m",2018-08-21,2018-08-22 15:23:45,2017-07-01 06:34:21,25.4318333333333,-158.327,110,0.0111,20,25.899,35.225,25.895,2004.6,2321,8.066,NA,NA,NA,0.00431293081531048,0.0418448577367276,4.78729860659269,0.198435096570249,1.61136453185521,1.7729574420251,0.275130628701757,0.049,0.0287,0.0416406436605535,4.56129333333333,1.53694666666667,0.011,0.00810666666666667
"180821_Poo_Day1and2Poo_Full1.mzML","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
